plot_id,season,site_id,site_name,region,variety,treatment,replicate,rainfall_mm,growing_degree_days,disease_pressure_index,stand_count_per_m2,lodging_pct,yield_t_ha
P00082,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Programme Bravo,2,497.4,2348.0,14.5,7.62,10.7,9.54
P00083,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Programme Bravo,3,497.4,2348.0,11.2,8.13,1.0,11.1
P00084,2021,S02,Clay Flats Station,Northern Plains,CL-Beacon 44,Programme Bravo,4,497.4,2348.0,13.7,8.32,1.4,10.67
P00085,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Untreated Check,1,497.4,2348.0,80.6,7.71,5.5,7.74
P00086,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Untreated Check,2,497.4,2348.0,74.5,7.93,5.0,8.31
P00087,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Untreated Check,3,497.4,2348.0,60.5,7.87,3.9,8.61
P00088,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Untreated Check,4,497.4,2348.0,72.3,7.56,5.3,8.55
P00089,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Programme Alpha,1,497.4,2348.0,33.9,7.72,3.5,8.72
P00090,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Programme Alpha,2,497.4,2348.0,31.8,7.42,5.9,8.36
P00091,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Programme Alpha,3,497.4,2348.0,27.7,7.24,1.9,9.17
P00092,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Programme Alpha,4,497.4,2348.0,31.4,7.82,3.6,8.88
P00093,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Programme Bravo,1,497.4,2348.0,13.8,7.85,11.2,9.1
P00094,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Programme Bravo,2,497.4,2348.0,14.1,6.94,9.0,8.53
P00095,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Programme Bravo,3,497.4,2348.0,12.4,8.39,9.0,8.98
P00096,2021,S02,Clay Flats Station,Northern Plains,CL-Cinder 07,Programme Bravo,4,497.4,2348.0,13.5,8.56,3.5,9.05
P00097,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Untreated Check,1,497.4,2348.0,56.4,7.37,4.2,9.26
P00098,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Untreated Check,2,497.4,2348.0,78.0,7.06,8.9,9.12
P00099,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Untreated Check,3,497.4,2348.0,78.8,7.23,9.8,8.48
P00100,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Untreated Check,4,497.4,2348.0,71.2,7.72,6.1,8.75
P00101,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Programme Alpha,1,497.4,2348.0,25.8,7.81,3.3,9.71
P00102,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Programme Alpha,2,497.4,2348.0,32.6,7.59,3.2,10.21
P00103,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Programme Alpha,3,497.4,2348.0,24.9,7.37,3.4,9.57
P00104,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Programme Alpha,4,497.4,2348.0,30.9,7.86,3.4,9.64
P00105,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Programme Bravo,1,497.4,2348.0,14.6,7.47,3.3,9.93
P00106,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Programme Bravo,2,497.4,2348.0,15.4,7.83,1.7,10.1
P00107,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Programme Bravo,3,497.4,2348.0,13.7,7.58,9.5,10.6
P00108,2021,S02,Clay Flats Station,Northern Plains,CL-Delta 12,Programme Bravo,4,497.4,2348.0,13.9,7.83,4.0,10.43
P00109,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Untreated Check,1,497.4,2348.0,64.4,7.73,10.5,9.73
P00110,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Untreated Check,2,497.4,2348.0,77.0,7.99,5.5,8.45
P00111,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Untreated Check,3,497.4,2348.0,74.8,7.58,6.6,9.03
P00112,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Untreated Check,4,497.4,2348.0,73.8,7.81,5.7,9.29
P00113,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Programme Alpha,1,497.4,2348.0,24.8,7.96,5.9,10.31
P00114,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Programme Alpha,2,497.4,2348.0,29.1,7.86,2.8,10.74
P00115,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Programme Alpha,3,497.4,2348.0,33.3,7.96,2.1,10.57
P00116,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Programme Alpha,4,497.4,2348.0,26.7,8.05,7.3,10.34
P00117,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Programme Bravo,1,497.4,2348.0,13.8,8.02,8.4,9.85
P00118,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Programme Bravo,2,497.4,2348.0,14.2,8.32,3.0,11.18
P00119,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Programme Bravo,3,497.4,2348.0,13.0,7.59,4.6,10.27
P00120,2021,S02,Clay Flats Station,Northern Plains,CL-Ember 33,Programme Bravo,4,497.4,2348.0,15.9,7.37,3.3,10.39
P00121,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Untreated Check,1,561.3,2466.0,58.6,7.78,3.7,9.53
P00122,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Untreated Check,2,561.3,2466.0,49.4,8.09,6.2,9.65
P00123,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Untreated Check,3,561.3,2466.0,39.1,7.3,4.4,9.76
P00124,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Untreated Check,4,561.3,2466.0,49.8,7.75,8.6,9.37
P00125,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Programme Alpha,1,561.3,2466.0,23.1,7.47,2.4,10.95
P00126,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Programme Alpha,2,561.3,2466.0,23.9,7.65,2.8,10.7
P00127,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Programme Alpha,3,561.3,2466.0,22.2,7.64,2.3,9.83
P00128,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Programme Alpha,4,561.3,2466.0,24.6,7.85,1.6,10.37
P00129,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Programme Bravo,1,561.3,2466.0,10.2,7.32,4.1,10.84
P00130,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Programme Bravo,2,561.3,2466.0,9.9,7.92,2.1,10.88
P00131,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Programme Bravo,3,561.3,2466.0,8.3,7.74,1.2,10.99
P00132,2021,S03,River Bend Station,Central Valley,CL-Aurora 21,Programme Bravo,4,561.3,2466.0,11.4,8.02,3.0,10.89
P00133,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Untreated Check,1,561.3,2466.0,40.0,7.51,12.9,11.13
P00134,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Untreated Check,2,561.3,2466.0,44.9,8.06,5.0,11.09
P00135,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Untreated Check,3,561.3,2466.0,55.4,8.09,4.1,12.01
P00136,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Untreated Check,4,561.3,2466.0,52.7,7.55,2.9,10.83
P00137,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Programme Alpha,1,561.3,2466.0,21.0,8.1,2.8,11.1
P00138,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Programme Alpha,2,561.3,2466.0,21.2,7.2,2.8,11.83
P00139,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Programme Alpha,3,561.3,2466.0,22.3,7.6,6.5,11.36
P00140,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Programme Alpha,4,561.3,2466.0,21.9,8.18,4.7,9.96
P00141,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Programme Bravo,1,561.3,2466.0,11.6,7.86,2.4,11.89
P00142,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Programme Bravo,2,561.3,2466.0,10.6,7.9,1.3,12.04
P00143,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Programme Bravo,3,561.3,2466.0,9.8,7.96,2.0,12.16
P00144,2021,S03,River Bend Station,Central Valley,CL-Beacon 44,Programme Bravo,4,561.3,2466.0,10.7,7.94,10.8,12.29
P00145,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Untreated Check,1,561.3,2466.0,57.7,7.56,4.3,9.63
P00146,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Untreated Check,2,561.3,2466.0,47.8,7.92,10.3,8.86
P00147,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Untreated Check,3,561.3,2466.0,58.3,7.72,4.1,8.95
P00148,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Untreated Check,4,561.3,2466.0,53.8,7.49,4.7,8.86
P00149,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Programme Alpha,1,561.3,2466.0,25.2,7.9,4.7,9.85
P00150,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Programme Alpha,2,561.3,2466.0,18.4,7.68,6.4,9.93
P00151,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Programme Alpha,3,561.3,2466.0,23.6,7.63,3.8,9.49
P00152,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Programme Alpha,4,561.3,2466.0,22.4,7.64,2.9,9.69
P00153,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Programme Bravo,1,561.3,2466.0,9.2,8.3,1.6,10.44
P00154,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Programme Bravo,2,561.3,2466.0,9.3,8.21,1.3,9.8
P00155,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Programme Bravo,3,561.3,2466.0,7.9,8.35,4.9,9.4
P00156,2021,S03,River Bend Station,Central Valley,CL-Cinder 07,Programme Bravo,4,561.3,2466.0,8.7,8.11,3.8,9.62
P00157,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Untreated Check,1,561.3,2466.0,48.3,7.42,6.5,10.55
P00158,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Untreated Check,2,561.3,2466.0,42.2,7.44,4.8,10.06
P00159,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Untreated Check,3,561.3,2466.0,36.0,8.2,2.2,10.28
P00160,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Untreated Check,4,561.3,2466.0,50.7,7.99,4.3,9.92
P00161,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Programme Alpha,1,561.3,2466.0,20.6,7.26,9.3,11.04
P00162,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Programme Alpha,2,561.3,2466.0,22.2,7.65,2.7,11.11
P00163,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Programme Alpha,3,561.3,2466.0,24.5,7.45,3.1,10.84
P00164,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Programme Alpha,4,561.3,2466.0,24.2,6.85,2.1,11.4
P00165,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Programme Bravo,1,561.3,2466.0,10.8,6.75,7.4,11.19
P00166,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Programme Bravo,2,561.3,2466.0,9.6,7.86,3.3,11.35
P00167,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Programme Bravo,3,561.3,2466.0,10.5,7.29,2.7,10.81
P00168,2021,S03,River Bend Station,Central Valley,CL-Delta 12,Programme Bravo,4,561.3,2466.0,10.2,7.35,5.7,11.7
P00169,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Untreated Check,1,561.3,2466.0,49.4,7.66,6.0,10.22
P00170,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Untreated Check,2,561.3,2466.0,46.8,8.15,4.3,10.4
P00171,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Untreated Check,3,561.3,2466.0,46.9,7.91,6.4,11.39
P00172,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Untreated Check,4,561.3,2466.0,43.0,7.49,3.6,10.97
P00173,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Programme Alpha,1,561.3,2466.0,20.1,7.53,4.3,11.8
P00174,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Programme Alpha,2,561.3,2466.0,27.3,8.04,4.4,10.8
P00175,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Programme Alpha,3,561.3,2466.0,27.0,8.1,4.3,11.63
P00176,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Programme Alpha,4,561.3,2466.0,18.5,7.34,1.7,11.4
P00177,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Programme Bravo,1,561.3,2466.0,9.8,7.3,1.1,12.04
P00178,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Programme Bravo,2,561.3,2466.0,9.0,7.76,1.8,11.74
P00179,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Programme Bravo,3,561.3,2466.0,9.2,8.39,4.4,11.69
P00180,2021,S03,River Bend Station,Central Valley,CL-Ember 33,Programme Bravo,4,561.3,2466.0,9.3,7.73,7.3,11.8
P00181,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Untreated Check,1,678.7,2473.0,57.7,7.7,4.4,9.35
P00182,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Untreated Check,2,678.7,2473.0,59.8,7.62,8.1,8.55
P00183,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Untreated Check,3,678.7,2473.0,42.9,7.67,7.4,9.87
P00184,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Untreated Check,4,678.7,2473.0,49.8,7.39,3.5,9.84
P00185,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Programme Alpha,1,678.7,2473.0,23.3,7.65,8.4,10.32
P00186,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Programme Alpha,2,678.7,2473.0,20.7,7.32,1.9,10.9
P00187,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Programme Alpha,3,678.7,2473.0,25.3,7.62,5.0,11.22
P00188,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Programme Alpha,4,678.7,2473.0,21.2,8.16,10.2,11.28
P00189,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Programme Bravo,1,678.7,2473.0,11.2,7.98,4.2,10.52
P00190,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Programme Bravo,2,678.7,2473.0,10.1,7.87,2.1,11.67
P00191,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Programme Bravo,3,678.7,2473.0,8.3,7.44,0.9,11.96
P00192,2021,S04,Lakeview Station,Central Valley,CL-Aurora 21,Programme Bravo,4,678.7,2473.0,10.6,8.04,2.6,10.63
P00193,2021,S04,Lakeview Station,Central Valley,CL-Beacon 44,Untreated Check,1,678.7,2473.0,44.6,7.49,3.6,11.16
P00194,2021,S04,Lakeview Station,Central Valley,CL-Beacon 44,Untreated Check,2,678.7,2473.0,49.8,8.07,8.7,11.32
P00195,2021,S04,Lakeview Station,Central Valley,CL-Beacon 44,Untreated Check,3,678.7,2473.0,59.5,7.66,6.2,11.98
P00196,2021,S04,Lakeview Station,Central Valley,CL-Beacon 44,Untreated Check,4,678.7,2473.0,48.1,7.37,7.8,12.13
P00197,2021,S04,Lakeview Station,Central Valley,CL-Beacon 44,Programme Alpha,1,678.7,2473.0,24.6,7.78,2.3,11.05
P00198,2021,S04,Lakeview Station,Central Valley,CL-Beacon 44,Programme Alpha,2,678.7,2473.0,24.6,7.45,1.7,12.02
P00199,2021,S04,Lakeview Station,Central Valley,CL-Beacon 44,Programme Alpha,3,678.7,2473.0,24.0,7.54,4.7,11.82
P00200,2021,S04,Lakeview Station,Central Valley,CL-Beacon 44,Programme Alpha,4,678.7,2473.0,25.3,7.19,2.0,12.06
